 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Período:Jan/2019-Mar/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;114943,51;-;-;59582,83;161228,33;264058,22;713056,26;967369,83;1875814,79;3078793,10;5539540,80;8388269,45;8645315,78;9050329,13;9211262,51;9490545,02;8600886,20;8919190,86;8909111,89;8409386,09;8924348,41;8948605,66;8660753,05;8327665,97;8431334,62;7251287,20;7490440,60;8957706,45;10993332,84;10479989,36;11433467,56;8876900,39;8167253,19;8759013,71;9003402,23;8414690,60;6039419,59;4732441,04;246290737,07
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;108713,05;105033,96;203463,29;502240,54;1197535,46;1664584,82;2594347,32;2234388,36;2473008,49;2979764,77;3070533,95;3249052,69;3567538,64;2981072,98;2998860,31;3293378,97;3174249,43;2959569,09;3276790,55;2985763,71;2939675,20;2672857,33;2940827,86;3914823,86;4053085,41;3658265,59;3470409,45;3267918,69;3393958,27;3711660,71;3005561,16;2272733,90;1137341,65;86059009,46
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;582,42;-;-;-;-;677,59;32838,40;184098,34;2950762,53;4571271,70;10070660,73;15358914,00;14100074,56;16103971,89;16154491,82;16529976,06;15509984,83;16642220,71;16493719,52;15351607,47;16339427,95;14821977,50;14965815,90;15982353,42;15166470,82;14815958,58;16379386,07;19625325,21;18433057,47;19303743,16;18687233,58;18628627,49;18728251,20;20451573,77;21546059,48;24439059,57;13679358,06;6799060,80;468848592,60
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6468,70;2461,40;30320,33;186018,27;511608,51;1219909,43;2662240,18;2499996,16;2846135,56;2789823,29;2839389,53;2647540,20;2865777,71;3181321,82;3070436,96;3162342,44;3121104,71;2889969,87;3084561,08;2967159,04;2813954,05;2306119,95;2921522,16;3300012,98;3192075,41;3262354,34;2978629,22;3313296,78;3527263,23;3125021,90;3209323,68;3044798,77;2381844,31;81960801,97
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2049,80;918,11;-;-;480,87;-;34733,82;221287,70;2212963,25;7132637,74;10638727,80;19657149,66;34513534,80;31885919,67;33236155,79;31008924,95;31064106,50;28543179,30;36713929,36;36462011,47;36792954,02;36984314,60;35579251,49;35247659,30;37046350,76;34683341,17;34908420,50;29184688,30;43327731,71;40994545,21;40496349,97;38793393,54;36965951,76;38406616,21;37043032,10;36914437,92;33887773,65;23343222,94;13069564,31;966998310,05
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7866,98;107389,00;299658,61;1246299,54;2441325,03;2564176,12;2604263,92;2573615,74;2127851,77;2632890,52;2445874,82;2173060,89;2541342,33;2540183,86;2239443,36;2141400,83;2351019,41;2342718,63;2286375,90;1774558,12;2761503,37;2735248,12;2536642,73;2702550,32;2533445,46;2762003,36;2714710,93;2826612,42;2513766,36;1534733,18;989155,40;66051687,03
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;731,96;-;32938,09;655408,48;2288791,35;3773749,12;4956439,10;6462574,69;5785900,15;6588080,47;7235519,78;6957234,52;7127258,56;7117047,32;7140062,79;7119991,29;7587986,90;7594175,34;7573064,95;7227714,55;7343446,18;7027599,91;6261458,26;7390889,58;7871556,55;7934629,02;6488927,84;4229376,60;1853045,23;509009,74;689383,43;347626,85;416534,32;928756,84;162516909,76
"21 Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58150,53;28329,75;-;-;-;-;-;-;-;39462,85;-;12822,94;-;45774,91;3329,98;-;-;-;-;-;-;10303,32;12574,43;-;287239,08;-;39462,85;-;39462,85;-;49,70;-;39462,85;-;-;14562,49;69631,55;39512,55;-;39462,85;39462,85;30760,86;52086,98;99154,13;78975,40;39462,85;39500,80;5467,14;76540,03;55717,79;157851,40;-;71271,69;41500,60;39462,85;95476,24;50546,24;-;-;1271,11;188659,21;180947,72;42196,41;-;46214,28;560,00;11970,14;44254,10;586750,14;2652349,26;6334348,45;15202646,76;30160826,23;27614666,06;30322908,98;30475196,99;32603116,94;29836256,42;31293695,07;31374933,66;31617443,39;30205022,97;31081861,45;29882634,85;31644389,22;28876348,04;29401096,62;24555641,06;34835605,89;35894441,09;33991348,70;32711259,43;31985709,32;34430463,50;32446802,41;30927070,93;26797697,76;23260245,95;17294509,11;842566192,95
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40804,76;-;-;-;-;-;-;-;-;-;-;-;-;40804,76;-;-;203576,49;-;-;2236,55;-;-;-;-;28478,84;-;-;8051,60;-;-;-;-;-;-;-;-;-;-;-;-;-;81609,52;-;-;-;-;-;-;-;-;-;-;21172,75;-;8946,23;-;-;-;10536,67;40804,76;-;30765,10;-;57703,19;25496,76;-;-;40804,76;-;40804,76;7455,18;81609,52;-;-;-;1689,84;40804,76;-;40804,76;-;-;-;-;-;-;-;14065,46;23806,92;-;40804,76;-;-;51540,23;40804,76;-;40804,76;-;5665,94;2832,97;11182,78;451,40;40804,76;28130,93;76689,09;43888,96;4671,91;4870,71;56460,78;428796,43;1291094,28;1751294,88;6066909,80;16917253,12;15557928,97;16878130,00;16779468,57;18016632,11;17165218,35;17522996,01;17833872,84;17916788,90;19172977,04;17666561,44;16846903,02;17313368,84;16308573,14;15534772,69;12302920,77;15643037,09;18772428,20;25817440,95;22452255,50;20636997,20;20326808,24;20021998,76;19352220,14;18437275,64;13636005,36;9542151,53;485253518,49
"23 Ceará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;165157,36;-;-;2385,66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4771,31;-;-;-;40804,76;-;-;-;-;-;15059,49;-;-;40804,76;24005,72;-;30417,19;40804,76;61679,30;546,65;2519,23;21868,57;-;-;107644,89;123684,49;568218,19;2464468,94;11369071,79;19273083,62;31458578,84;51302833,45;47533935,93;50654425,80;52336204,61;55381997,05;49997697,54;54340019,60;51672585,01;51750791,62;53952404,24;50215470,13;48450464,27;53141363,31;49234260,33;46718050,22;44956286,28;59152597,50;57225862,97;58448488,85;55118185,83;53827491,88;54679652,99;54026288,42;50271552,33;43743425,74;30186951,00;17173151,55;1411308013,97
